created_at,full_text
2024-11-19,emg gini apa gimana si? listrik di jogja akhir akhir ini tidak tahan cuaca anjir dah kayak tinggal di pedesaan tertinggal
2024-11-18,cuaca jogja gajelas anjir masa ugm hujan deras di rumahku panas??
2024-11-18,hari ini kek lemes sangat didukung cuaca jogja seharian hujan jadi lah bermalas bermalasan di kamar doang
2024-11-18,bjir lah aku benci sangat cuaca jogja
2024-11-18,Info cuaca Jogja dong bolo
2024-11-18,Jogja kota sedang hujan enaknya ngewe cok cuaca gini tuh. Abis ngewe cuddle sampe bobo. Bangun malem langsung abis itu cari makan malam. Bah enak anjg.
2024-11-18,Area Jogja terang Magelang Udan Badai. Cen cuaca tidak seneng kui ro banner e luthfi pengen digawe kebur
2024-11-18,Meriang sebab cuaca berubah-ubah jadi pengaruh Semoga lekas sembuh .
2024-11-18,Joh info cuaca area jogja sore ini
2024-11-18,infokan cuaca leh aku meh bali ng makot seko jogja. tengs
2024-11-18,Senin 1 1 November 2 2 20 20 Kunjungan Mahasiswa Polbangtan Yogyakarta sebanyak 3 3 orang untuk belajar alat ukur parameter cuaca/iklim.      qmSgqa qmSg qmSgqaZT
2024-11-18,Prakiraan Cuaca Jateng dan Jatim Hari Ini: Hujan dan Petir Siang Hingga Malam     UGPen UGPen UGPenaiB
2024-11-18,Waspadai Potensi Cuaca Ekstrem di Jateng 1 1-2 2 November Terutama di Wilayah Berikut Ini    mQoL6 Yg mQoL6 mQoL6 YgR
2024-11-17,Pagiiiii berasa sampe sini ademnya cuaca Jogja
2024-11-17,Lu pikir lu doang yg sakit???? Badan gw jg lgi gk enak bjirrr. Cuaca jogja lagi gaje
2024-11-17,BRRRR dingin inilah cuaca jogja yg aku sukai
2024-11-17,anj sangat emng cuaca jogja
2024-11-17,Ndes yang sudah pernah berkelana di jogja kira kira tempat mana aja yang perlu dikunjungi ketika liburan dijogja? Dan untuk cuaca di jogja akhir akhir ini bagaimana? Thx ndes
2024-11-17,info cuaca jogja?
