datetime,temperature,humidity,wind_speed,uv_index,weather_description,city_name
2024-09-20,24.7,80,1.8,,No description available,Yogyakarta
2024-09-21,24.9,86,1.7,,No description available,Yogyakarta
2024-09-22,26.1,86,1.6,,No description available,Yogyakarta
2024-09-23,26.6,87,1.2,,No description available,Yogyakarta
2024-09-24,25.5,90,1.3,,No description available,Yogyakarta
2024-09-25,25.6,86,1.3,,No description available,Yogyakarta
2024-09-26,25.5,89,1.3,,No description available,Yogyakarta
2024-09-27,26.3,86,1.4,,No description available,Yogyakarta
2024-09-28,27.4,82,2.0,,No description available,Yogyakarta
2024-09-29,27.0,82,1.8,,No description available,Yogyakarta
2024-09-30,27.0,81,1.8,,No description available,Yogyakarta
2024-10-01,26.2,86,1.7,,No description available,Yogyakarta
2024-10-02,25.1,93,1.6,,No description available,Yogyakarta
2024-10-03,25.9,87,1.8,,No description available,Yogyakarta
2024-10-04,26.1,84,1.8,,No description available,Yogyakarta
2024-10-05,26.2,83,1.6,,No description available,Yogyakarta
2024-10-06,26.2,85,1.8,,No description available,Yogyakarta
2024-10-07,26.3,84,2.1,,No description available,Yogyakarta
2024-10-08,26.0,86,2.2,,No description available,Yogyakarta
2024-10-09,26.2,85,2.0,,No description available,Yogyakarta
2024-10-10,26.2,86,1.7,,No description available,Yogyakarta
2024-10-11,26.9,83,1.8,,No description available,Yogyakarta
2024-10-12,27.2,84,1.8,,No description available,Yogyakarta
2024-10-13,26.6,87,1.8,,No description available,Yogyakarta
2024-10-14,26.4,88,2.0,,No description available,Yogyakarta
2024-10-15,25.8,82,2.0,,No description available,Yogyakarta
2024-10-16,24.6,81,2.1,,No description available,Yogyakarta
2024-10-17,24.6,79,2.0,,No description available,Yogyakarta
2024-10-18,25.2,81,1.9,,No description available,Yogyakarta
2024-10-19,25.9,85,1.3,,No description available,Yogyakarta
2024-10-20,24.2,94,1.3,,No description available,Yogyakarta
2024-10-21,25.4,88,1.3,,No description available,Yogyakarta
2024-10-22,25.4,89,1.6,,No description available,Yogyakarta
2024-10-23,25.5,86,1.6,,No description available,Yogyakarta
2024-10-24,25.3,90,1.6,,No description available,Yogyakarta
2024-10-25,25.0,92,1.4,,No description available,Yogyakarta
2024-10-26,24.9,94,1.5,,No description available,Yogyakarta
2024-10-27,25.5,91,1.7,,No description available,Yogyakarta
2024-10-28,25.5,90,1.9,,No description available,Yogyakarta
2024-10-29,25.6,89,1.8,,No description available,Yogyakarta
2024-10-30,25.9,87,1.7,,No description available,Yogyakarta
2024-10-31,26.5,88,1.4,,No description available,Yogyakarta
2024-11-01,26.1,89,1.0,,No description available,Yogyakarta
2024-11-02,26.4,87,1.0,,No description available,Yogyakarta
2024-11-03,26.0,86,1.4,,No description available,Yogyakarta
2024-11-04,26.4,85,1.1,,No description available,Yogyakarta
2024-11-05,27.1,83,1.2,,No description available,Yogyakarta
2024-11-06,27.0,81,1.6,,No description available,Yogyakarta
2024-11-07,26.3,85,1.3,,No description available,Yogyakarta
2024-11-08,26.0,91,1.4,,No description available,Yogyakarta
2024-11-09,26.4,89,1.4,,No description available,Yogyakarta
2024-11-10,26.4,90,1.3,,No description available,Yogyakarta
2024-11-11,26.3,88,1.1,,No description available,Yogyakarta
2024-11-12,26.6,87,1.2,,No description available,Yogyakarta
2024-11-13,27.8,83,1.3,,No description available,Yogyakarta
2024-11-14,27.4,80,1.3,,No description available,Yogyakarta
2024-11-15,27.1,81,0.9,,No description available,Yogyakarta
2024-11-16,26.7,85,1.0,,No description available,Yogyakarta
2024-11-17,27.1,81,0.8,,No description available,Yogyakarta
2024-11-18,26.9,84,0.7,,No description available,Yogyakarta
2024-11-19,26.3,86,1.0,,No description available,Yogyakarta
